venue,year,doi,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.212,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.213,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.214,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.215,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.220,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.221,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.225,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.226,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.229,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.230,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.233,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.236,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.237,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.238,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.244,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.245,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.250,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.251,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.252,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.253,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.255,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.256,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.262,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.263,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.264,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.265,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.271,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.272,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.275,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.279,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.285,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.286,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.288,,,,,,,,,,
InfoVis,2012,10.1109/TVCG.2012.291,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.191,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.195,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.219,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.224,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.254,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.258,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.260,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.273,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.276,,,,,,,,,,
VAST,2012,10.1109/TVCG.2012.277,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400484,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400485,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400486,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400487,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400488,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400489,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400490,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400491,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400492,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400493,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400494,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400552,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400553,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400554,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400555,,,,,,,,,,
VAST,2012,10.1109/VAST.2012.6400556,,,,,,,,,,
